Component, GAV, License, URL, Scope, Path
Apache Velocity,org.apache.velocity:velocity:jar:1.6.4-atlassian-5,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Applinks API,com.atlassian.applinks:applinks-api:jar:4.2.5,Apache 2,http://www.atlassian.com/public-pom/applinks-parent/applinks-api,binary,
Applinks Host Integration Services,com.atlassian.applinks:applinks-host:jar:4.2.5,Apache 2,http://www.atlassian.com/public-pom/applinks-parent/applinks-host,binary,
Applinks Product Plugin,com.atlassian.applinks:applinks-plugin:atlassian-plugin:4.2.5,Apache 2,http://www.atlassian.com/public-pom/applinks-parent/applinks-plugin,binary,
Applinks SPI,com.atlassian.applinks:applinks-spi:jar:4.2.5,Apache 2,http://www.atlassian.com/public-pom/applinks-parent/applinks-spi,binary,
aQute Bundle Tool Library,biz.aQute:bndlib:jar:1.43.0-atlassian-1,Apache License 2.0,http://www.aQute.biz/Code/Bnd,binary,
ASM Core,asm:asm:jar:3.1,BSD License,http://asm.objectweb.org/asm,binary,
asm,asm:asm:jar:1.5.3,BSD License,http://asm.objectweb.org/,binary,
Atlassian Annotations - Annotations,com.atlassian.annotations:atlassian-annotations:jar:0.14,BSD License,http://www.atlassian.com/public-pom/atlassian-annotations-parent/atlassian-annotations,binary,
Atlassian Annotations - Annotations,com.atlassian.annotations:atlassian-annotations:jar:0.9,BSD License,http://www.atlassian.com/public-pom/atlassian-annotations-parent/atlassian-annotations,binary,com.atlassian.plugins.rest:atlassian-rest-module:2.9.10/META-INF/maven/com.atlassian.annotations/atlassian-annotations
Atlassian Cache - API,com.atlassian.cache:atlassian-cache-api:jar:2.4.4,BSD License,http://docs.atlassian.com/atlassian-cache-api/2.4.4/atlassian-cache-api,binary,
Atlassian Cache - Common Implementation,com.atlassian.cache:atlassian-cache-common-impl:jar:2.4.4,BSD License,http://docs.atlassian.com/atlassian-cache-common-impl/2.4.4/atlassian-cache-common-impl,binary,
Atlassian Cache - Compatibility Library,com.atlassian.cache:atlassian-cache-compat:jar:1.1-m1,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian Cache - EhCache Implementation,com.atlassian.cache:atlassian-cache-ehcache:jar:2.4.4,BSD License,http://docs.atlassian.com/atlassian-cache-ehcache/2.4.4/atlassian-cache-ehcache,binary,
Atlassian Cache - Memory Implementation,com.atlassian.cache:atlassian-cache-memory:jar:2.4.4,BSD License,http://docs.atlassian.com/atlassian-cache-memory/2.4.4/atlassian-cache-memory,binary,
Atlassian Concurrency Utilities,com.atlassian.util.concurrent:atlassian-util-concurrent:jar:2.3.0,Apache License 2.0,https://labs.atlassian.com/wiki/display/CONCURRENT/Home,binary,com.atlassian.upm:atlassian-universal-plugin-manager-plugin:2.17.13/META-INF/maven/com.atlassian.util.concurrent/atlassian-util-concurrent
Atlassian Concurrency Utilities,com.atlassian.util.concurrent:atlassian-util-concurrent:jar:2.6.2,Apache License 2.0,https://labs.atlassian.com/wiki/display/CONCURRENT/Home,binary,
Atlassian Config,com.atlassian.config:atlassian-config:jar:0.15,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian Core,com.atlassian.core:atlassian-core:jar:4.6.17,BSD License,http://www.atlassian.com/public-pom/atlassian-core,binary,
Atlassian Event,com.atlassian.event:atlassian-event:jar:2.3.4,BSD License,https://docs.atlassian.com/atlassian-event/2.3.4,binary,
Atlassian Gzip Filter,com.atlassian.gzipfilter:atlassian-gzipfilter:jar:1.21,BSD License,http://docs.atlassian.com/atlassian-gzipfilter/1.21/atlassian-gzipfilter,binary,
Atlassian HealthCheck Common Module,com.atlassian.healthcheck:atlassian-healthcheck:atlassian-plugin:2.0.7,BSD License,http://www.atlassian.com/atlassian-healthcheck,binary,
Atlassian HTTP Client -  Apache HTTP components impl,com.atlassian.httpclient:atlassian-httpclient-apache-httpcomponents:jar:0.15.0,Apache License 2.0,http://www.apache.org/licenses/,binary,
Atlassian HTTP Client -  Apache HTTP components impl,com.atlassian.httpclient:atlassian-httpclient-plugin:atlassian-plugin:0.17.3,Apache License 2.0,http://www.atlassian.com/atlassian-public-pom/atlassian-httpclient-parent/atlassian-httpclient-plugin,binary,
Atlassian HTTP Client API,com.atlassian.httpclient:atlassian-httpclient-api:jar:0.15.0,Apache License 2.0,http://www.apache.org/licenses/,binary,com.atlassian.hipchat.plugins:hipchat-core-plugin:0.9.0/META-INF/maven/com.atlassian.httpclient/atlassian-httpclient-api
Atlassian HTTP Client API,com.atlassian.httpclient:atlassian-httpclient-api:jar:0.17.3,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
Atlassian HTTP Client SPI,com.atlassian.httpclient:atlassian-httpclient-spi:jar:0.15.0,Apache License 2.0,http://www.apache.org/licenses/,binary,com.atlassian.hipchat.plugins:hipchat-core-plugin:0.9.0/META-INF/maven/com.atlassian.httpclient/atlassian-httpclient-spi
Atlassian IP,com.atlassian.ip:atlassian-ip:jar:3.0,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian JDK Utilities,com.atlassian.jdk.utilities:atlassian-jdk-utilities:jar:0.4,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian Jersey Restdoc,com.atlassian.jersey:atlassian-jersey-restdoc:jar:1.0.3,Common Development and Distribution License 1.0,http://opensource.org/licenses/cddl1.txt,binary,
Atlassian Johnson,com.atlassian.johnson:atlassian-johnson:jar:1.1.2,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian JSON-RPC Shared Components,com.atlassian.rpc:atlassian-json-rpc-components:jar:1.0.4,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian LESS Compiler Core,com.atlassian.lesscss:lesscss-core:jar:2.1.1,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian LESS Compiler SPI,com.atlassian.lesscss:lesscss-spi:jar:2.1.1,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian LESS Transformer Plugin,com.atlassian.plugins:less-transformer-plugin:atlassian-plugin:2.1.1,BSD License,http://www.atlassian.com/public-pom/lesscss-parent/less-transformer-plugin,binary,
Atlassian Mail,com.atlassian.mail:atlassian-mail:jar:2.5.6,BSD,http://docs.atlassian.com/atlassian-mail/2.5.6,binary,
Atlassian OAuth Admin Plugin,com.atlassian.oauth:atlassian-oauth-admin-plugin:atlassian-plugin:1.9.8,BSD License,http://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-admin-plugin,binary,
Atlassian OAuth API,com.atlassian.oauth:atlassian-oauth-api:atlassian-plugin:1.9.8,BSD License,http://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-api,binary,
Atlassian OAuth Bridge,com.atlassian.oauth:atlassian-oauth-bridge:jar:1.1,Atlassian End User,http://www.atlassian.com/atlassian-closedsource-pom/atlassian-oauth/atlassian-oauth-bridge,binary,
Atlassian OAuth Bridge,com.atlassian.oauth:atlassian-oauth-bridge:jar:1.9.8,BSD License,http://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-bridge,binary,
Atlassian OAuth Consumer Plugin,com.atlassian.oauth:atlassian-oauth-consumer-plugin:atlassian-plugin:1.9.8,BSD License,http://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-consumer-plugin,binary,
Atlassian OAuth Consumer Service Core Implementation,com.atlassian.oauth:atlassian-oauth-consumer-core:jar:1.9.8,BSD License,http://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-consumer-core,binary,
