Component, GAV, License, URL, Scope, Path
backbone,0.9.1,MIT License,http://github.com/documentcloud/backbone/,binary,
backbone,1.0.0,MIT License,http://backbonejs.org/,binary,
backbone-query-parameters,0.2.2,BSD License,https://github.com/jhudson8/backbone-query-parameters/,binary,
Backport of JSR 166,backport-util-concurrent:backport-util-concurrent:jar:3.1,Public Domain,http://creativecommons.org/licenses/publicdomain,binary,
Batik CSS engine,org.apache.xmlgraphics:batik-css:jar:1.7,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Batik external code,org.apache.xmlgraphics:batik-ext:jar:1.7,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Batik utility library,org.apache.xmlgraphics:batik-util:jar:1.7,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Bean Validation API,javax.validation:validation-api:jar:1.0.0.GA,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.html,binary,
BeanUtils,commons-beanutils:commons-beanutils:jar:1.6.1,Apache License 2.0,http://jakarta.apache.org/commons/beanutils/,binary,
Bitbucket Client Java library,com.atlassian.jira.plugins:bitbucket-client:jar:2.1.28,BSD 2-Clause License,http://www.atlassian.com/public-pom/jira-dvcs-connector-parent/bitbucket-client,binary,
Botocss core,com.atlassian.botocss:botocss-core:jar:4.4-spudbean-2,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Bouncy Castle Provider,org.bouncycastle:bcprov-jdk15on:jar:1.50,MIT License,http://www.bouncycastle.org/java.html,binary,
bsf,bsf:bsf:jar:2.2,Apache License 2.0,,binary,
bsh,bsh:bsh:jar:1.2b7,Apache License 2.0,,binary,
Caja-HTML-Sanitizer,Unspecified,Apache License 2.0,http://github.com/theSmaw/Caja-HTML-Sanitizer/,binary,
carol,carol:carol:jar:1.5.2,GNU Lesser General Public License 2.1,,binary,
carol-properties,carol:carol-properties:jar:1.5.2,GNU Lesser General Public License 2.1,,binary,
cglib,cglib:cglib-nodep:jar:2.1_3,Apache License 2.0,http://cglib.sourceforge.net/,binary,
cglib,cglib:cglib:jar:2.1_3,Apache License 2.0,http://cglib.sourceforge.net/,binary,
Chance,0.5.4,MIT License,http://chancejs.com,binary,
classworlds,classworlds:classworlds:jar:1.1,BSD License,http://classworlds.codehaus.org/,binary,
CLI,commons-cli:commons-cli:jar:1.0,Apache License 2.0,http://commons.apache.org/proper/commons-cli/,binary,
closure-script,Unspecified,Apache License 2.0,http://github.com/dturnbull/closure-script/,binary,
cocktail,0.3.0,MIT License,https://github.com/onsi/cocktail,binary,
com.springsource.com.sun.syndication,com.sun.syndication:com.springsource.com.sun.syndication:jar:0.9.0,Apache License 2.0,,binary,
com.springsource.org.jdom,org.jdom:com.springsource.org.jdom:jar:1.0.0,Apache License 2.0,,binary,
Commons Codec,commons-codec:commons-codec:jar:1.4,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Commons Codec,commons-codec:commons-codec:jar:1.6,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.httpclient:atlassian-httpclient-plugin:0.17.3/META-INF/maven/commons-codec/commons-codec
Commons Collections,commons-collections:commons-collections:jar:3.2.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Commons Configuration,commons-configuration:commons-configuration:jar:1.0,Apache License 2.0,http://jakarta.apache.org/commons/${pom.artifactId.substring(8)}/,binary,
Commons DBCP,commons-dbcp:commons-dbcp:jar:1.4,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Commons FileUpload,commons-fileupload:commons-fileupload:jar:1.2.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Commons FileUpload,commons-fileupload:commons-fileupload:jar:1.2.2,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.jira.plugins.workflow.sharing:jira-workflow-sharing-plugin:1.1.35/META-INF/lib/commons-fileupload-1.2.2.jar/META-INF/maven/commons-fileupload/commons-fileupload
Commons IO,commons-io:commons-io:jar:1.4,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Commons IO,commons-io:commons-io:jar:2.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.jira.tests:jira-testkit-client:6.3.11/META-INF/maven/commons-io/commons-io
Commons JEXL,commons-jexl:commons-jexl:jar:1.1,Apache License 2.0,http://jakarta.apache.org/commons/jexl/,binary,
Commons Lang,commons-lang:commons-lang:jar:2.4,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.jira.extra:jira-ical-feed:1.1.1/META-INF/lib/commons-lang-2.4.jar/META-INF/maven/commons-lang/commons-lang
Commons Lang,commons-lang:commons-lang:jar:2.5,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.crowd:embedded-crowd-admin-plugin:1.7.3/META-INF/lib/commons-lang-2.5.jar/META-INF/maven/commons-lang/commons-lang
Commons Lang,commons-lang:commons-lang:jar:2.6,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Commons Lang,org.apache.commons:commons-lang3:jar:3.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Commons Logging,commons-logging:commons-logging:jar:1.1.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Commons Pool,commons-pool:commons-pool:jar:1.5.4,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Commons Validator,commons-validator:commons-validator:jar:1.4.0,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
commons-jelly,commons-jelly:commons-jelly:jar:1.0,Apache License 2.0,http://jakarta.apache.org/commons/jelly/,binary,
commons-jelly-tags-email,commons-jelly:commons-jelly-tags-email:jar:1.0,Apache License 2.0,,binary,
commons-jelly-tags-http,commons-jelly:commons-jelly-tags-http:jar:1.0,Apache License 2.0,,binary,
commons-jelly-tags-junit,commons-jelly:commons-jelly-tags-junit:jar:1.0,Apache License 2.0,,binary,
commons-jelly-tags-log,commons-jelly:commons-jelly-tags-log:jar:1.0,Apache License 2.0,,binary,
commons-jelly-tags-regexp,commons-jelly:commons-jelly-tags-regexp:jar:1.0,Apache License 2.0,,binary,
commons-jelly-tags-soap,commons-jelly:commons-jelly-tags-soap:jar:1.0,Apache License 2.0,,binary,
commons-jelly-tags-sql,commons-jelly:commons-jelly-tags-sql:jar:1.0,Apache License 2.0,,binary,
commons-jelly-tags-util,commons-jelly:commons-jelly-tags-util:jar:1.1.1,Apache License 2.0,,binary,
commons-jrcs,commons-jrcs:commons-jrcs:jar:diff-0.1.7,Apache License 2.0,,binary,
cookies-net-goog,Unspecified,Apache License 2.0,https://code.google.com/p/closure-library/,binary,
Cookies_byDuncanCrombie,Unspecified,Reviewed License (LICAUDIT-22),,binary,
csv,csv:csv:jar:20,Non military use only License,,binary,
Data Mapper for Jackson,org.codehaus.jackson:jackson-mapper-asl:jar:1.9.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Data Mapper for Jackson,org.codehaus.jackson:jackson-mapper-asl:jar:1.9.12,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
datafile,datafile:datafile:jar:1.3.3,GNU Lesser General Public License 2.1,,binary,
datejs,1.0.Alpha1,MIT License,http://code.google.com/p/datejs/,binary,
DB Exporter (and Importer),com.atlassian.activeobjects:activeobjects-dbex:jar:0.23.12,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Default Plexus Container,org.codehaus.plexus:plexus-container-default:jar:1.0-alpha-9-stable-1,Apache License 2.0,http://maven.apache.org/,binary,
dhtmlHistory,Unspecified,BSD License,,binary,
Digester,commons-digester:commons-digester:jar:1.4.1,Apache License 2.0,,binary,
Discovery,commons-discovery:commons-discovery:jar:0.2,Apache License 2.0,,binary,
dom4j,dom4j:dom4j:jar:1.4,BSD License,,binary,
Doxia :: Logging API,org.apache.maven.doxia:doxia-logging-api:jar:1.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Doxia :: Sink API,org.apache.maven.doxia:doxia-sink-api:jar:1.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
dragtable,2.0.6,MIT License,https://github.com/akottr/dragtable/,binary,
draw2d,2.7.1-dev,Commercial,,binary,
Eclipse EGit GitHub API Core,org.eclipse.mylyn.github:org.eclipse.egit.github.core:jar:2.1.2,Eclipse Public License 1.0,http://www.eclipse.org/legal/epl-v10.html,binary,com.atlassian.jira.plugins:jira-dvcs-connector-plugin:2.1.28/META-INF/maven/org.eclipse.mylyn.github/org.eclipse.egit.github.core
Eclipse EGit GitHub API Core,org.eclipse.mylyn.github:org.eclipse.egit.github.core:jar:2.1.5,Eclipse Public License 1.0,http://www.eclipse.org/legal/epl-v10.html,binary,
ehcache,net.sf.ehcache:ehcache:jar:2.7.5,Apache License 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,binary,
es5-shim,Unspecified,MIT License,http://github.com/kriskowal/es5-shim/,binary,
eve,0.3.4,MIT License,https://github.com/adobe-webplatform/eve,binary,
excanvas,Unspecified,Apache License 2.0,http://github.com/arv/excanvas/,binary,
FindBugs-Annotations,com.google.code.findbugs:annotations:jar:1.3.9,GNU Lesser Public License,http://www.gnu.org/licenses/lgpl.html,binary,
FindBugs-jsr305,com.google.code.findbugs:jsr305:jar:1.3.9,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
FindBugs-jsr305,com.google.code.findbugs:jsr305:jar:2.0.2,BSD License,http://findbugs.sourceforge.net/,binary,
flot,0.7,MIT License,http://code.google.com/p/flot/,binary,
Fluent HttpClient,org.apache.httpcomponents:fluent-hc:jar:4.2,Apache License 2.0,LICENSE.txt,binary,com.atlassian.analytics:analytics-client:3.53/META-INF/maven/org.apache.httpcomponents/fluent-hc
Fluent HttpClient,org.apache.httpcomponents:fluent-hc:jar:4.2.5,Apache License 2.0,LICENSE.txt,binary,
Functional Guava Extensions,com.atlassian.fugue:fugue:jar:1.1,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,com.atlassian.webhooks:atlassian-webhooks-plugin:0.17.6/META-INF/maven/com.atlassian.fugue/fugue
Functional Guava Extensions,com.atlassian.fugue:fugue:jar:1.2.0,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,com.atlassian.crowd:crowd-rest-plugin:2.8.0-OD-6-JIRA-05/META-INF/lib/fugue-1.2.0.jar/META-INF/maven/com.atlassian.fugue/fugue
Functional Guava Extensions,com.atlassian.fugue:fugue:jar:2.1.0,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
Functional Test Plugin,com.atlassian.functest:functest-plugin:atlassian-plugin:0.7,BSD License,http://www.atlassian.com/atlassian-public-pom/functest-parent/functest-plugin,binary,
FVLogger,Unspecified,Free source,,binary,
glue,glue:glue:jar:5.0b2,ELECTRIC XML License,,binary,
Google Soy compiler,com.google.template.soy:soycompiler:jar:20112212-r27-atlassian3,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Gson,com.google.code.gson:gson:jar:1.4,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.jira.plugins:jira-importers-github-plugin:2.0.5/META-INF/lib/gson-1.4.jar/META-INF/maven/com.google.code.gson/gson
Gson,com.google.code.gson:gson:jar:1.7.2,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Gson,com.google.code.gson:gson:jar:2.2.2-atlassian-1,Apache License 2.0,http://code.google.com/p/google-gson/,binary,com.atlassian.jira.plugins:jira-importers-bitbucket-plugin:1.0.11/META-INF/lib/gson-2.2.2-atlassian-1.jar
Guava (shaded),com.atlassian.guava:guava:jar:15.0,Apache License 2.0,https://bitbucket.org/atlassian/guava-shaded,binary,
guava-bridge,com.google.guava:guava-bridge:jar:11.0.2-atlassian-02,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Guava: Google Core Libraries for Java,com.google.guava:guava:bundle:15.0,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.jira.plugins:jira-transition-triggers-plugin:2.3.5-D20140908T021716/META-INF/maven/com.google.guava/guava
Guava: Google Core Libraries for Java,com.google.guava:guava:jar:11.0.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.jira.collector.plugin:jira-issue-collector-plugin:1.4.16/META-INF/maven/com.google.guava/guava
Guava: Google Core Libraries for Java,com.google.guava:guava:jar:11.0.2-atlassian-02,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Guice,com.google.code.guice:guice:jar:1.0-atlassian-2,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Hamcrest Core,org.hamcrest:hamcrest-core:jar:1.2,BSD License,http://www.opensource.org/licenses/bsd-license.php,binary,
hamcrest-all,org.hamcrest:hamcrest-all:jar:1.2,BSD License,,binary,
Hibernate Validator,org.hibernate:hibernate-validator:jar:4.0.2.GA,Apache License 2.0,license.txt,binary,
hibernate,hibernate:hibernate:jar:2.1.8-atlassian,GNU Lesser General Public License 2.1,https://bitbucket.org/atlassian/hibernate-2.1.8/,binary,
HipChat Core Plugin,com.atlassian.hipchat.plugins:hipchat-core-plugin:atlassian-plugin:0.9.0,Apache License 2.0,http://www.atlassian.com/atlassian-public-pom/hipchat-core-plugin,binary,
HipChat for JIRA,com.atlassian.labs.hipchat:hipchat-for-jira-plugin:atlassian-plugin:1.3.7,Apache License 2.0,http://www.atlassian.com/public-pom/hipchat-for-jira-plugin,binary,
hsqldb,hsqldb:hsqldb:jar:1.8.0.5,BSD License,,binary,
html5shiv,3.6.1,MIT License,https://github.com/aFarkas/html5shiv,binary,
HttpAsyncClient Cache,org.apache.httpcomponents:httpasyncclient-cache:jar:4.0-beta3-atlassian2,Apache License 2.0,LICENSE.txt,binary,
HttpAsyncClient,org.apache.httpcomponents:httpasyncclient:jar:4.0-beta3-atlassian2,Apache License 2.0,LICENSE.txt,binary,
HttpClient Cache,org.apache.httpcomponents:httpclient-cache:jar:4.2.1-atlassian-2,Apache License 2.0,LICENSE.txt,binary,com.atlassian.httpclient:atlassian-httpclient-plugin:0.17.3/META-INF/maven/org.apache.httpcomponents/httpclient-cache
HttpClient Cache,org.apache.httpcomponents:httpclient-cache:jar:4.2.4,Apache License 2.0,LICENSE.txt,binary,com.atlassian.plugins:atlassian-nav-links-plugin:3.3.12/META-INF/lib/httpclient-cache-4.2.4.jar/META-INF/maven/org.apache.httpcomponents/httpclient-cache
HttpClient Cache,org.apache.httpcomponents:httpclient-cache:jar:4.2.5,Apache License 2.0,LICENSE.txt,binary,
HttpClient OSGi bundle,org.apache.httpcomponents:httpclient-osgi:bundle:4.0,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.html,binary,
HttpClient OSGi bundle,org.apache.httpcomponents:httpclient-osgi:bundle:4.2.5,Apache License 2.0,LICENSE.txt,binary,
HttpClient,commons-httpclient:commons-httpclient:jar:3.0.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
HttpClient,org.apache.httpcomponents:httpclient:jar:4.2,Apache License 2.0,LICENSE.txt,binary,com.atlassian.analytics:analytics-client-s3:3.53/META-INF/maven/org.apache.httpcomponents/httpclient
HttpClient,org.apache.httpcomponents:httpclient:jar:4.2.1-atlassian-2,Apache License 2.0,LICENSE.txt,binary,com.atlassian.httpclient:atlassian-httpclient-plugin:0.17.3/META-INF/maven/org.apache.httpcomponents/httpclient
HttpClient,org.apache.httpcomponents:httpclient:jar:4.2.4,Apache License 2.0,LICENSE.txt,binary,com.atlassian.plugins:atlassian-nav-links-plugin:3.3.12/META-INF/lib/httpclient-4.2.4.jar/META-INF/maven/org.apache.httpcomponents/httpclient
HttpClient,org.apache.httpcomponents:httpclient:jar:4.2.5,Apache License 2.0,LICENSE.txt,binary,com.atlassian.jira.plugins.workflow.sharing:jira-workflow-sharing-plugin:1.1.35/META-INF/lib/httpclient-4.2.5.jar/META-INF/maven/org.apache.httpcomponents/httpclient
HttpCore NIO,org.apache.httpcomponents:httpcore-nio:jar:4.2.2-atlassian1,Apache License 2.0,LICENSE.txt,binary,com.atlassian.httpclient:atlassian-httpclient-plugin:0.17.3/META-INF/maven/org.apache.httpcomponents/httpcore-nio
HttpCore NIO,org.apache.httpcomponents:httpcore-nio:jar:4.2.4,Apache License 2.0,LICENSE.txt,binary,
HttpCore OSGi bundle,org.apache.httpcomponents:httpcore-osgi:bundle:4.2.4,Apache License 2.0,LICENSE.txt,binary,
HttpCore,org.apache.httpcomponents:httpcore:jar:4.2,Apache License 2.0,LICENSE.txt,binary,com.atlassian.analytics:analytics-client-s3:3.53/META-INF/maven/org.apache.httpcomponents/httpcore
HttpCore,org.apache.httpcomponents:httpcore:jar:4.2.2-atlassian1,Apache License 2.0,LICENSE.txt,binary,com.atlassian.httpclient:atlassian-httpclient-plugin:0.17.3/META-INF/maven/org.apache.httpcomponents/httpcore
HttpCore,org.apache.httpcomponents:httpcore:jar:4.2.4,Apache License 2.0,LICENSE.txt,binary,
HttpMime,org.apache.httpcomponents:httpmime:jar:4.0,Apache License 2.0,../LICENSE.txt,binary,
HttpMime,org.apache.httpcomponents:httpmime:jar:4.1.2,Apache License 2.0,LICENSE.txt,binary,com.atlassian.httpclient:atlassian-httpclient-plugin:0.17.3/META-INF/maven/org.apache.httpcomponents/httpmime
HttpMime,org.apache.httpcomponents:httpmime:jar:4.2.5,Apache License 2.0,LICENSE.txt,binary,
I18N Libraries,org.apache.abdera:abdera-i18n:bundle:1.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.streams:streams-aggregator-plugin:5.4.9/META-INF/maven/org.apache.abdera/abdera-i18n
iCal4j Extensions,net.fortuna.ical4j:ical4j-extensions:bundle:0.9,iCal4j - License,LICENSE,binary,
iCal4j,net.fortuna.ical4j:ical4j:bundle:1.0-rc3,iCal4j - License,LICENSE,binary,
ICU4J,com.atlassian.bundles:icu4j:bundle:3.8-1,MIT License,http://www.atlassian.com/atlassian-public-pom/parent-pom/icu4j,binary,
ICU4J,com.ibm.icu:icu4j:jar:3.8,MIT License,http://www-306.ibm.com/software/globalization/icu/,binary,
iepp,Unspecified,MIT License,http://github.com/aFarkas/iepp/,binary,
image4j,org.jclarion:image4j:jar:0.7,GNU Lesser General Public License (LGPL),http://www.gnu.org/licenses/lgpl.txt,binary,
Jackrabbit JCR Commons,org.apache.jackrabbit:jackrabbit-jcr-commons:bundle:1.5.0,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Jackrabbit WebDAV Library,org.apache.jackrabbit:jackrabbit-webdav:jar:1.5.0,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Jackson,org.codehaus.jackson:jackson-core-asl:jar:1.9.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Jackson-annotations,com.fasterxml.jackson.core:jackson-annotations:bundle:2.3.0,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Jackson-annotations,com.fasterxml.jackson.core:jackson-annotations:jar:2.1.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.analytics:analytics-client-s3:3.53/META-INF/maven/com.fasterxml.jackson.core/jackson-annotations
Jackson-core,com.fasterxml.jackson.core:jackson-core:bundle:2.3.2,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Jackson-core,com.fasterxml.jackson.core:jackson-core:jar:2.1.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.analytics:analytics-client-s3:3.53/META-INF/maven/com.fasterxml.jackson.core/jackson-core
jackson-databind,com.fasterxml.jackson.core:jackson-databind:bundle:2.3.2,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
jackson-databind,com.fasterxml.jackson.core:jackson-databind:jar:2.1.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.analytics:analytics-client-s3:3.53/META-INF/maven/com.fasterxml.jackson.core/jackson-databind
Jackson-module-Scala,com.fasterxml:jackson-module-scala-2.10:jar:1.9.3.3,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
jackson-module-scala-2.10-provider,com.atlassian.scala.plugins:jackson-module-scala-2.10-provider-plugin:bundle:0.5,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
jai-core,javax.media:jai-core:jar:1.1.3,http://java.net/projects/jai-core/sources/svn/content/trunk/LICENSE-JDL.txt?rev=111,,binary,
jai_codec,com.sun:jai_codec:jar:1.1.3,BSD License,,binary,
jai_core,com.sun:jai_core:jar:1.1.3,BSD License,,binary,
Java HTTP cache :: API,org.codehaus.httpcache4j:httpcache4j-api:jar:3.2,Apache License 2.0,http://apache.org/licenses/LICENSE-2.0,binary,
Java HTTP cache :: Core,org.codehaus.httpcache4j:httpcache4j-core:jar:3.2,Apache License 2.0,http://apache.org/licenses/LICENSE-2.0,binary,
Java HTTP cache :: Resolvers :: HttpComponents HttpClient,org.codehaus.httpcache4j.resolvers:resolvers-httpcomponents-httpclient:jar:3.2,Apache License 2.0,http://apache.org/licenses/LICENSE-2.0,binary,
Java HTTP cache :: Storage API,org.codehaus.httpcache4j:httpcache4j-storage-api:jar:3.2,Apache License 2.0,http://apache.org/licenses/LICENSE-2.0,binary,
Java Transaction API,javax.transaction:jta:jar:1.0.1B,Common Development and Distribution License 1.0,http://java.sun.com/products/jta,binary,
JavaMail API (compat),javax.mail:mail:jar:1.4.5,Common Development and Distribution License 1.0,http://www.sun.com/cddl,binary,
javax.inject,javax.inject:javax.inject:jar:1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
JAX-RS provider for JSON content type,org.codehaus.jackson:jackson-jaxrs:jar:1.4.4,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
JAX-RS provider for JSON content type,org.codehaus.jackson:jackson-jaxrs:jar:1.9.1,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
JAXB RI,com.sun.xml.bind:jaxb-impl:jar:2.2.3-1,Common Development and Distribution License 1.1,https://glassfish.java.net/public/CDDL+GPL_1_1.html,binary,
jaxb-api,javax.xml.bind:jaxb-api:jar:2.1,Common Development and Distribution License 1.1,,binary,
jaxen,jaxen:jaxen:jar:1.1.1,BSD License,http://jaxen.codehaus.org/,binary,
JCaptcha,com.octo.captcha:jcaptcha-api:jar:2.0-alpha-1,GNU Lesser General Public License 2.1,,binary,
JCaptcha,com.octo.captcha:jcaptcha:jar:2.0-alpha-1,GNU Lesser General Public License 2.1,,binary,
jcip-annotations,net.jcip:jcip-annotations:jar:1.0,Creative Commons Attribution License 2.5,,binary,
JCL 1.1.1 implemented over SLF4J,org.slf4j:jcl-over-slf4j:jar:1.6.4,Apache License 2.0,http://www.slf4j.org,binary,
jcommon,jfree:jcommon:jar:1.0.8,GNU Lesser General Public License 2.1,,binary,
jdom,jdom:jdom:jar:1.0,Apache License 2.0,,binary,
Jersey Apache HTTP Client,com.sun.jersey.contribs:jersey-apache-client:jar:1.9.1,Common Development and Distribution License 1.1,https://jersey.java.net/jersey-contribs/jersey-apache-client,binary,
Jersey Library,com.atlassian.plugins.rest:com.atlassian.jersey-library:pom:2.9.10,BSD License,http://www.atlassian.com/public-pom/atlassian-rest-parent/com.atlassian.jersey-library,binary,
jersey-client,com.sun.jersey:jersey-client:bundle:1.8-atlassian-15,Common Development and Distribution License 1.1,https://jersey.dev.java.net/jersey-client,binary,
jersey-core,com.sun.jersey:jersey-core:bundle:1.8-atlassian-15,Common Development and Distribution License 1.1,https://jersey.dev.java.net/jersey-core,binary,
jersey-json,com.sun.jersey:jersey-json:bundle:1.8-atlassian-15,Common Development and Distribution License 1.1,https://jersey.dev.java.net/jersey-json,binary,
jersey-server,com.sun.jersey:jersey-server:bundle:1.8-atlassian-15,Common Development and Distribution License 1.1,https://jersey.dev.java.net/jersey-server,binary,
Jettison,org.codehaus.jettison:jettison:bundle:1.1,Apache License 2.0,,binary,
jfreechart,jfree:jfreechart:jar:1.0.13,GNU Lesser General Public License 2.1,,binary,
JHLabs Image Processing Filters,com.jhlabs:filters:jar:2.0.235,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
JIRA Activity Stream Inline Actions Plugin,com.atlassian.streams:streams-jira-inline-actions-plugin:atlassian-plugin:5.4.9,BSD License,http://confluence.atlassian.com/display/JIRAEXT/Atlassian+Activity+Stream+Plugin/streams-jira-inline-actions-plugin,binary,
JIRA Activity Stream Plugin,com.atlassian.streams:streams-jira-plugin:atlassian-plugin:5.4.9,BSD License,http://confluence.atlassian.com/display/JIRAEXT/Atlassian+Activity+Stream+Plugin/streams-jira-plugin,binary,
JIRA Bamboo Plugin,com.atlassian.jira.plugins:jira-bamboo-plugin:atlassian-plugin:7.2.0,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
Jira DVCS Connector API,com.atlassian.jira.plugins:jira-dvcs-connector-api:jar:2.1.28,BSD 2-Clause License,http://www.atlassian.com/public-pom/jira-dvcs-connector-parent/jira-dvcs-connector-api,binary,
Jira DVCS Connector Bitbucket module,com.atlassian.jira.plugins:jira-dvcs-connector-bitbucket:jar:2.1.28,BSD 2-Clause License,http://www.atlassian.com/public-pom/jira-dvcs-connector-parent/jira-dvcs-connector-bitbucket,binary,
Jira DVCS Connector GitHub Enterprise module,com.atlassian.jira.plugins:jira-dvcs-connector-github-enterprise:jar:2.1.28,BSD 2-Clause License,http://www.atlassian.com/public-pom/jira-dvcs-connector-parent/jira-dvcs-connector-github-enterprise,binary,
Jira DVCS Connector GitHub module,com.atlassian.jira.plugins:jira-dvcs-connector-github:jar:2.1.28,BSD 2-Clause License,http://www.atlassian.com/public-pom/jira-dvcs-connector-parent/jira-dvcs-connector-github,binary,
JIRA DVCS Connector Plugin,com.atlassian.jira.plugins:jira-dvcs-connector-plugin:atlassian-plugin:2.1.28,BSD 2-Clause License,http://www.atlassian.com/public-pom/jira-dvcs-connector-parent/jira-dvcs-connector-plugin,binary,
JIRA FishEye Plugin,com.atlassian.jira.plugins:jira-fisheye-plugin:atlassian-plugin:6.3.6,BSD 2-Clause License,https://marketplace.atlassian.com/plugins/com.atlassian.jirafisheyeplugin,binary,
JIRA iCalendar Plugin,com.atlassian.jira.extra:jira-ical-feed:atlassian-plugin:1.1.1,BSD License,http://www.atlassian.com/atlassian-public-pom/jira-ical-feed,binary,
JIRA JSON-RPC Plugin,com.atlassian.jira.rpc:jira-json-rpc-plugin:atlassian-plugin:1.0.4,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
JIRA RPC - Plugin,com.atlassian.jira.plugins:atlassian-jira-rpc-plugin:atlassian-plugin:6.3,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
JIRA TestKit - Client,com.atlassian.jira.tests:jira-testkit-client:jar:6.3.11,Apache License 2.0,http://www.atlassian.com/public-pom/jira-testkit-plugin-parent/jira-testkit-client,binary,
JIRA TestKit - Common,com.atlassian.jira.tests:jira-testkit-common:jar:6.3.11,Apache License 2.0,http://www.atlassian.com/public-pom/jira-testkit-plugin-parent/jira-testkit-common,binary,
